created_at,text,RT
2021/12/02_16:01:33,12/2(木)④☃️ あ、塾講師してます 。❄️️ ラスト授業の生徒に貰いました🌸🥺ﾌﾟﾚｯｼｬｰすごいのでもう受験生はもたない!って毎年思うけど合格したって言われると嬉しいよねええええ😵‍💫国数英がすきです✌🏻け… https://t.co/MXgyB9C3wM,157
2021/12/02_16:01:21,12/2(木)③☃️ダイエット中...?🙊❄️️見て見て〜❕アンファンってお店のエクレア🥴プチシューも売っててほんとに好きなのよ…🤤この前久々に奈良に行ったので買っちゃった！兵庫にはないんよね、みんなの近くにはあ… https://t.co/MpqQvdtbor,158
2021/12/02_16:01:04,12/2(木)②☃️ｶﾜｲｸﾅﾘﾀｲ❄️️昔に比べるとメイク上手くなったような💭私はブルベ冬です(たぶん)皆は自分のパーソナルカラー知ってる〜？🧐この写真おんなのこって感じでお気に入り✌🏻💄☃️❄️️… https://t.co/EVP0KyBjO3,154
2021/12/02_16:00:51,12/2(木)①4日目!☃️みさぽち投票所🗳❄️️毎日リプくれてる方々ありがとううううう！！見てます👀リプ返追いつかなさすぎてランダムに返してるので返ってきたら( ¨̮⋆)ﾗｯｷｰですね😉今日も投票するよね…??🥺の顔… https://t.co/xDYWq3gv0v,155
2021/12/01_14:03:39,12/1(水)⑤☃️1日1いっぬ❄️️普段全然寄ってこないのに私が寝てたら乗ってきます。ツンデレでかわいいです。沼です。けど重い…🙊☃️❄️️#MODECON #ミクチャ #犬のいる暮らし… https://t.co/ILdfiV5rYG,182
2021/12/01_14:03:13,12/1(水)④☃️ピアノ🎹❄️️この前弾かなきゃだったので5年ぶりくらいにちゃんと練習したけど本番ひどかったお話🙁🙁🙁こんないかつめな格好でピアノ弾いてるのおもろいね✌︎( ˙-˙︎︎︎  )動画見てみて下さい（笑）… https://t.co/hqAvVmyrfY,176
2021/12/01_14:02:30,12/1(水)③☃️冬服しか❄️️2日目もありがとう❕初日の次の日って緊張したけど沢山盛り上げてくれて嬉しかったᙏ̤̫❤︎服も髪型もめっちゃ褒められてるんるんでした😆今日は20:30~配信します🙇‍♀️☃️… https://t.co/BJWyRZfsw7,179
2021/12/01_14:02:11,12/1(水)②☃️12月だねん❄️️今日から新しいスケジュール帳✌🏻私はこれ無いと予定が全然わかりません😟優柔不断なのでどれにするか毎年めちゃくちゃ悩む。結局Paul &amp; JOE🐈みんなの予定管理は紙派？スマホ… https://t.co/sEslKSJwUO,177
2021/12/01_14:01:57,12/1(水)①☃️みさぽち投票所🗳https://t.co/f7Ziy74iSAこれはテスト前日の悟りの顔です🙂土曜日に美容院行くんだけどインナー青系かピンク系かずっと悩み中💭投票報告と一緒にどっちがいいか教え… https://t.co/MpENZSBhMW,177
2021/11/30_13:51:16,11/30(火)⑤☃️1日1いっぬ❄️️今日は #いいおしりの日 らしいので🍑後ろ姿ってあんまり撮らないからめっちゃ探した（笑）犬って足ほっそいのうらやまし()☃️❄️️#MODECON #ミクチャ… https://t.co/haIIY3zfQF,199
2021/11/30_13:51:01,11/30(火)④☃️❄️️試験期間って食生活と生活リズムが終わります☹️法学部の試験って全部ボールペン指定なんだけどめずらしいのかな？🧐あとちょっとがんばろおおお☃️❄️️#MODECON #ミクチャ… https://t.co/RiAAzD1weX,200
2021/11/30_13:50:43,11/30(火)③☃️リスト作ったよ❄️️リスト派の方々へ🙇‍♀️良かったらフォローして使ってください✌︎︎︎⚆⚆︎︎︎︎✌︎︎︎固定ツイにモーメントもあるのでお好きな方で😆… https://t.co/vne9pU4gMr,201
2021/11/30_13:50:28,11/30(火)②☃️初日ありがとう❄️️初日28万ありがとうございました🥲みんなほんとえぐかった…🤦‍♀️沢山の投票・RT報告もありがとうございました！！！まだ始まったばかりだし全然不安だけど絶対勝とうね。… https://t.co/2mxHmrsNep,199
2021/11/30_13:50:07,11/30(火)①☃投票所🗳❄昨日の正解は梅酒のソーダ割でした🥃おすすめのお酒教えてくださいな│˶˙ᵕ˙˶)꜆🗳今日もぽちっとお願いします👇🏻https://t.co/f7Ziy74iSA投票ボタン出てこない… https://t.co/mrdNujsyUU,198
